ParticipantID,Age,HomeSize,MonthlyElectricityConsumption,MonthlyWaterConsumption,Location_Suburban,Location_Urban,Location_Rural,DietType_Mostly Animal-Based,DietType_Mostly Plant-Based,DietType_Mostly Balanced,TransportationMode_Car,TransportationMode_Public Transit,TransportationMode_Walk,TransportationMode_Bike,EnergySource_Non-Renewable,EnergySource_Renewable,EnergySource_Mixed,HomeType_Apartment,HomeType_House,HomeType_Other,Gender_Male,Gender_Female,Gender_Non-Binary,Gender_Prefer not to say,LocalFoodFrequency_Often,LocalFoodFrequency_Always,LocalFoodFrequency_Rarely,LocalFoodFrequency_Sometimes,ClothingFrequency_Often,ClothingFrequency_Always,ClothingFrequency_Rarely,ClothingFrequency_Sometimes,SustainableBrands_TRUE,SustainableBrands_FALSE,EnvironmentalAwareness_1,EnvironmentalAwareness_2,EnvironmentalAwareness_3,EnvironmentalAwareness_4,EnvironmentalAwareness_5,CommunityInvolvement_Low,CommunityInvolvement_High,CommunityInvolvement_Moderate,CommunityInvolvement_None,UsingPlasticProducts_Often,UsingPlasticProducts_Rarely,UsingPlasticProducts_Sometimes,UsingPlasticProducts_Never,DisposalMethods_Composting,DisposalMethods_Landfill,DisposalMethods_Recycling,DisposalMethods_Combination,PhysicalActivities_Low,PhysicalActivities_Moderate,PhysicalActivities_None,PhysicalActivities_High,Rating
11,48.0,1400.0,120.0,1800.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,0,0,0,5,0,0,0,False,True,False,0,False,True,False,False,True,False,False,False,False,False,0,True,5
12,36.0,900.0,280.0,3200.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
13,61.0,750.0,420.0,4800.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
14,27.0,1300.0,160.0,2200.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,4,0,0,0,False,False,True,0,False,False,False,True,True,False,False,False,False,False,0,True,5
15,44.0,1050.0,220.0,3000.0,0,0,0,False,False,0,False,True,False,False,0,True,False,True,False,False,False,False,0,True,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
16,59.0,1900.0,320.0,3800.0,0,0,0,False,True,0,False,False,False,True,0,False,True,False,True,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
17,32.0,650.0,400.0,4600.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
18,50.0,1550.0,130.0,1900.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
19,24.0,850.0,260.0,3100.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,3
20,63.0,2400.0,480.0,5200.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
21,41.0,1200.0,90.0,1400.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,True,False,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
22,30.0,1000.0,290.0,3400.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,True,False,0,False,True,False,False,False,False,False,False,True,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
23,57.0,700.0,180.0,2600.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,False,True,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,4,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,False,True,0,False,4
24,26.0,1150.0,360.0,4100.0,0,0,0,True,False,0,True,False,False,False,0,False,False,True,False,False,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
25,49.0,1450.0,170.0,2100.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,True,False,False,False,False,True,False,False,False,0,True,5
26,37.0,680.0,270.0,3300.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,False,True,False,False,0,True,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,False,True,False,True,0,False,3
27,62.0,2300.0,460.0,5100.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,False,True,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
28,22.0,880.0,110.0,1600.0,0,0,0,False,True,0,False,False,False,True,0,True,False,True,False,False,True,False,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
29,40.0,1700.0,210.0,2900.0,0,0,0,False,False,0,False,True,False,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
30,53.0,720.0,340.0,3900.0,0,0,0,False,True,0,False,False,True,False,0,False,True,False,False,True,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
31,33.0,2100.0,390.0,4300.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
32,45.0,980.0,140.0,1950.0,0,0,0,False,True,0,False,False,True,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,4,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
33,28.0,1550.0,310.0,3600.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
34,60.0,780.0,430.0,4900.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
35,24.0,1250.0,100.0,1550.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,True,False,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
36,41.0,1080.0,230.0,3100.0,0,0,0,False,False,0,False,True,False,False,0,True,False,True,False,False,False,False,0,True,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,3
37,62.0,1950.0,330.0,3900.0,0,0,0,False,True,0,False,False,False,True,0,False,True,False,True,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,True,False,0,False,3
38,33.0,670.0,410.0,4700.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
39,46.0,1500.0,150.0,2000.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,True,False,0,False,True,False,False,False,False,False,True,False,0,0,0,4,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
40,29.0,920.0,270.0,3300.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
41,56.0,2350.0,470.0,5200.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
42,23.0,620.0,90.0,1300.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,False,True,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
43,40.0,1650.0,220.0,2900.0,0,0,0,False,False,0,False,True,False,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
44,53.0,1980.0,360.0,4100.0,0,0,0,False,True,0,False,False,True,False,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,False,True,0,False,4
45,30.0,1130.0,370.0,4200.0,0,0,0,True,False,0,True,False,False,False,0,False,False,True,False,False,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
46,47.0,1480.0,160.0,2100.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,False,0,True,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,True,False,0,False,True,False,False,False,False,True,False,False,False,0,True,5
47,38.0,690.0,280.0,3400.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,False,True,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,False,True,False,True,0,False,3
48,63.0,2250.0,440.0,5000.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
49,21.0,900.0,100.0,1400.0,0,0,0,False,True,0,False,False,False,True,0,True,False,True,False,False,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
50,39.0,1750.0,230.0,3000.0,0,0,0,False,False,0,False,True,False,False,0,True,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
51,54.0,730.0,350.0,4050.0,0,0,0,False,True,0,False,False,True,False,0,False,True,False,False,True,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
52,34.0,2050.0,380.0,4300.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
53,45.0,1350.0,130.0,1850.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
54,28.0,950.0,290.0,3450.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,3
55,60.0,1800.0,200.0,2800.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,True,False,0,False,True,False,False,False,False,True,False,False,False,0,True,5
56,24.0,1100.0,370.0,4200.0,0,0,0,True,False,0,True,False,False,False,0,False,False,True,False,False,True,False,0,False,False,False,True,False,True,False,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
57,41.0,1450.0,320.0,3700.0,0,0,0,False,False,0,False,False,False,True,0,False,True,False,True,False,False,False,0,False,False,False,False,True,False,False,False,True,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,False,True,0,False,3
58,57.0,700.0,170.0,2500.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,False,True,True,False,0,False,True,False,False,False,False,False,True,False,0,0,0,4,0,0,0,False,False,True,0,False,False,False,True,True,False,False,False,False,False,0,True,5
59,32.0,2200.0,410.0,4700.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,True,False,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
60,49.0,1020.0,180.0,2300.0,0,0,0,False,True,0,False,True,False,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,True,False,0,False,True,False,False,False,False,True,False,False,False,0,True,5
61,36.0,1500.0,280.0,3400.0,0,0,0,False,False,0,False,False,False,True,0,False,True,False,True,False,False,False,0,True,False,False,False,True,False,False,False,True,0,0,0,3,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,False,True,0,False,3
62,61.0,760.0,450.0,5000.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,True,False,True,False,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
63,27.0,1280.0,110.0,1600.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,True,False,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
64,44.0,1070.0,240.0,3100.0,0,0,0,False,False,0,False,True,False,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
65,58.0,1850.0,330.0,3900.0,0,0,0,False,True,0,False,False,False,True,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
66,31.0,660.0,390.0,4400.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
67,48.0,1420.0,150.0,2050.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
68,35.0,930.0,290.0,3500.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
69,62.0,2320.0,460.0,5100.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
70,22.0,610.0,95.0,1350.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,False,True,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
71,40.0,1680.0,215.0,2850.0,0,0,0,False,False,0,False,True,False,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
72,53.0,1960.0,355.0,4050.0,0,0,0,False,True,0,False,False,True,False,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,False,True,0,False,4
73,34.0,2080.0,390.0,4400.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,True,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
74,45.0,990.0,145.0,1950.0,0,0,0,False,True,0,False,False,True,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,4,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
75,28.0,1530.0,295.0,3500.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,3
76,60.0,1880.0,335.0,3950.0,0,0,0,False,True,0,False,False,False,True,0,False,True,False,True,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,False,True,0,False,4
77,24.0,1110.0,375.0,4250.0,0,0,0,True,False,0,True,False,False,False,0,False,False,True,False,False,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,True,False,False,0,True,False,False,False,False,True,False,False,True,False,0,False,1
78,41.0,1630.0,225.0,2950.0,0,0,0,False,False,0,False,True,False,False,0,True,False,False,True,False,False,False,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
79,57.0,710.0,175.0,2550.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,False,True,False,True,0,False,False,False,False,True,False,False,True,False,0,0,0,4,0,0,0,False,False,True,0,False,False,False,True,True,False,False,False,False,False,0,True,5
80,32.0,2150.0,405.0,4650.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,False,False,0,True,False,False,True,False,True,False,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
81,49.0,1010.0,125.0,1850.0,0,0,0,False,True,0,False,False,False,True,0,True,False,True,False,False,True,False,0,False,True,False,False,False,False,False,False,True,0,0,0,5,0,0,0,False,True,False,0,False,True,False,False,True,False,False,False,False,False,0,True,5
82,36.0,1570.0,305.0,3550.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,True,False,False,True,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
83,61.0,770.0,445.0,4950.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
84,27.0,1320.0,165.0,2250.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,4,0,0,0,False,False,True,0,False,False,False,True,True,False,False,False,False,False,0,True,5
85,44.0,1060.0,235.0,3050.0,0,0,0,False,False,0,False,True,False,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,True,False,0,False,False,True,False,False,False,True,False,False,True,0,False,4
86,58.0,1870.0,325.0,3850.0,0,0,0,False,True,0,False,False,False,True,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
87,31.0,655.0,405.0,4550.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
88,48.0,1430.0,155.0,2000.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False,True,0,0,0,5,0,0,0,False,True,False,0,False,True,False,False,True,False,False,False,False,False,0,True,5
89,35.0,940.0,285.0,3450.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,3
90,62.0,1820.0,205.0,2850.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,True,False,0,False,True,False,False,False,False,True,False,False,False,0,True,5
91,22.0,1120.0,365.0,4150.0,0,0,0,True,False,0,True,False,False,False,0,False,False,True,False,False,True,False,0,False,False,False,True,False,True,False,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
92,40.0,1470.0,315.0,3650.0,0,0,0,False,False,0,False,False,False,True,0,False,True,False,True,False,False,False,0,False,False,False,False,True,False,False,False,True,0,0,0,3,0,0,0,False,False,True,0,False,True,False,False,False,False,False,True,False,True,0,False,3
93,55.0,715.0,185.0,2650.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,False,True,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,4,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
94,33.0,2180.0,425.0,4750.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,True,False,False,False,0,0,0,2,0,0,0,True,False,False,0,True,False,False,False,False,True,False,False,True,False,0,False,1
95,46.0,1030.0,245.0,3150.0,0,0,0,False,True,0,False,True,False,False,0,True,False,True,False,False,False,False,0,True,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
96,29.0,1520.0,320.0,3700.0,0,0,0,False,False,0,False,False,False,True,0,False,True,False,True,False,False,True,0,False,False,False,False,True,False,False,False,True,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,False,True,0,False,3
97,56.0,755.0,440.0,4900.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,False,True,True,False,0,False,False,False,True,False,True,False,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
98,23.0,1270.0,105.0,1500.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
99,40.0,1090.0,250.0,3200.0,0,0,0,False,False,0,False,True,False,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
100,53.0,1940.0,345.0,3950.0,0,0,0,False,True,0,False,False,False,True,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
101,38.0,1380.0,180.0,2300.0,0,0,0,False,True,0,False,False,True,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,4,0,0,0,False,False,True,0,False,False,False,True,True,False,False,False,False,False,0,True,5
102,25.0,980.0,295.0,3450.0,0,0,0,False,False,0,False,True,False,False,0,False,True,True,False,False,True,False,0,False,False,False,False,True,False,False,False,True,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,True,False,False,True,0,False,3
